school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,M,19,U,GT3,T,2,1,teacher,health,course,father,3,4,2,yes,no,yes,no,no,no,yes,yes,1,2,2,4,2,2,27,12.231084062537617,11.356779945753724,14.663868724013938
MS,M,16,U,LE3,T,0,3,services,teacher,reputation,father,3,1,2,yes,yes,no,yes,no,no,no,yes,4,2,5,1,3,4,9,14.092052233914202,10.198855828462992,14.550445996098224
MS,M,21,U,LE3,T,1,0,at_home,at_home,course,mother,1,4,3,yes,no,no,no,no,no,yes,no,1,5,1,2,1,3,17,13.874386168408504,14.228670988623522,19.00108366774402
MS,F,22,U,LE3,T,0,0,teacher,services,other,mother,3,2,2,no,yes,no,no,yes,no,no,yes,2,2,3,2,5,2,6,15.40692380302442,9.209065286563005,13.67099285999096
MS,F,16,U,GT3,A,2,4,services,other,course,mother,1,2,1,yes,yes,yes,yes,yes,no,no,yes,1,1,1,1,5,3,4,9.338095898891405,16.973221650080877,17.264081903111048
MS,F,22,U,GT3,T,4,3,services,health,reputation,father,2,2,0,yes,yes,no,yes,no,yes,yes,no,2,1,5,1,2,3,28,12.092472613282693,11.803715716733437,11.919271174506243
GP,F,21,U,LE3,T,2,2,health,teacher,home,father,4,3,0,no,yes,no,no,yes,yes,no,no,2,4,1,5,3,4,6,8.999497345653765,9.39175370534217,11.894451992297139
GP,M,15,R,LE3,T,1,2,other,services,reputation,other,2,2,3,yes,yes,no,no,yes,no,no,yes,1,1,3,1,3,3,20,13.242703257904587,12.096475858695545,16.391900490881692
MS,F,21,U,LE3,A,3,3,teacher,other,reputation,father,2,1,2,yes,yes,yes,no,no,no,yes,no,2,2,1,1,2,2,27,17.41276541123368,14.210326226709501,14.976489593798906
MS,M,16,U,GT3,A,0,2,health,services,other,other,1,4,2,yes,yes,no,no,no,no,no,yes,3,2,3,2,2,3,5,8.41071538469638,13.561205288206073,16.072628717657217
MS,F,19,R,LE3,A,4,0,at_home,other,reputation,mother,3,4,3,no,yes,yes,yes,no,yes,yes,no,1,3,1,1,1,1,23,14.062643143863673,12.46972124699021,14.834191098890543
GP,M,20,U,LE3,A,3,2,other,at_home,reputation,father,2,3,0,yes,yes,no,yes,no,no,no,no,3,1,1,3,3,1,0,15.145922127361931,14.6328944137808,16.71246901790623
MS,M,16,U,GT3,T,2,2,teacher,services,other,mother,2,3,1,no,no,no,yes,no,yes,yes,no,1,5,3,1,5,4,28,9.321816086888155,14.449471027727792,11.954944185696137
GP,F,21,R,GT3,A,4,3,services,services,other,mother,2,1,2,no,yes,yes,yes,yes,yes,yes,no,2,5,1,5,2,2,10,13.308984584709657,14.464447317514908,15.691899610676206
GP,F,20,U,GT3,T,3,3,teacher,services,home,mother,3,2,3,no,no,no,yes,no,no,yes,yes,2,4,2,4,1,4,12,10.920200485557409,11.172987748524857,12.523083771657687
GP,F,21,U,LE3,T,4,2,services,at_home,course,mother,3,3,1,no,yes,yes,no,yes,yes,yes,no,4,3,4,2,5,1,11,11.636502321590985,11.152124161355966,13.398768440214463
GP,F,19,U,GT3,A,1,1,other,teacher,reputation,father,1,4,3,no,no,no,no,yes,no,yes,yes,4,5,2,3,3,2,0,10.820844312363757,11.377968520392013,13.394881896809238
GP,M,21,R,GT3,A,1,3,services,other,other,mother,2,3,3,no,no,yes,yes,no,yes,no,yes,3,4,4,4,2,3,20,11.325373866142304,10.517807142418938,12.776002765991484
MS,F,15,U,LE3,A,0,4,at_home,services,home,other,4,3,3,no,yes,no,yes,no,no,no,no,2,1,2,3,2,2,14,15.466589329072374,12.31702417584252,14.149361668941719
MS,F,17,U,GT3,A,0,4,services,at_home,course,father,3,2,0,yes,yes,yes,yes,yes,no,yes,no,4,3,4,2,1,5,0,11.762576582262497,11.983132246721219,15.912768847112078
MS,M,22,R,LE3,A,1,0,at_home,teacher,other,mother,1,3,0,yes,no,yes,no,no,yes,no,no,2,3,1,5,1,2,2,10.194992468677675,16.96520502547948,15.196305216189483
MS,F,22,U,LE3,T,4,2,other,other,course,father,2,1,3,no,no,no,no,yes,yes,no,no,1,2,3,2,3,3,25,12.206992683487453,10.48555390470391,12.572152342319885
MS,F,16,R,GT3,A,1,1,other,at_home,course,other,4,4,2,no,yes,yes,no,no,yes,no,no,4,1,3,3,2,5,14,5.633599761976587,9.039876942857273,8.426830516147463
GP,F,17,R,GT3,A,0,0,teacher,other,reputation,mother,3,2,1,no,yes,no,yes,no,no,yes,yes,3,3,5,3,1,4,8,9.549311735465581,13.937204841252814,14.460313312994838
MS,F,21,U,GT3,A,1,2,at_home,services,reputation,other,4,4,2,no,yes,yes,yes,yes,yes,yes,no,4,4,4,2,2,2,13,15.745773408748057,12.21456613283334,17.43957800499611
MS,F,19,R,GT3,T,1,3,at_home,teacher,other,mother,3,1,0,no,no,no,yes,yes,yes,no,yes,2,5,5,1,3,4,28,11.563964056536783,9.940967140053072,11.111351213466012
GP,M,16,R,GT3,A,4,4,health,at_home,course,other,1,1,1,no,yes,no,yes,no,no,yes,yes,5,1,5,2,2,2,22,10.565897962104753,14.34634681492916,11.709291868373674
MS,F,21,U,GT3,T,3,1,health,teacher,other,mother,4,3,3,yes,yes,no,yes,no,no,yes,yes,5,1,4,5,5,1,27,12.51890942386748,11.163024299134028,10.801221529020074
GP,F,20,R,LE3,A,0,4,health,services,other,father,2,3,2,yes,yes,no,no,no,yes,no,yes,2,3,3,2,2,1,21,14.20985979870171,16.572854582242435,16.972748691654413
MS,F,18,R,LE3,A,4,3,services,teacher,course,mother,2,3,2,no,yes,yes,yes,yes,yes,yes,no,1,3,4,4,4,3,23,15.986224290297748,9.1495652794306,14.14422263884609
GP,F,21,U,GT3,T,1,2,health,teacher,other,father,3,4,3,no,yes,no,no,no,yes,yes,no,4,3,1,1,4,1,7,10.646921644153782,10.257538059516689,12.58051177248701
MS,F,17,U,LE3,A,1,3,at_home,health,course,mother,2,1,2,no,no,no,no,no,no,yes,yes,5,4,5,4,3,5,21,10.715942232873894,12.382984049530348,13.867260389737842
MS,M,16,U,GT3,T,3,3,services,teacher,course,mother,4,2,0,yes,no,no,no,no,no,yes,yes,1,2,5,2,3,5,3,11.330483277081392,16.073353656174213,16.9392163008613
GP,F,17,R,LE3,T,0,4,other,other,course,other,1,3,3,no,yes,no,no,no,yes,yes,no,2,3,4,1,3,2,19,15.087482482408882,9.859494675008415,13.616106920840192
GP,M,16,U,LE3,T,0,1,teacher,at_home,course,other,3,4,2,yes,yes,no,no,yes,no,no,yes,1,2,5,4,5,4,19,12.17112505403688,13.129517042932282,14.183642427131298
GP,M,21,R,LE3,A,2,3,health,health,home,other,4,3,3,yes,no,yes,yes,yes,yes,yes,no,2,2,3,4,5,5,5,18.497639224173575,8.508096415826422,16.843410500016336
GP,F,15,R,GT3,A,0,4,other,at_home,course,mother,3,1,1,yes,yes,no,yes,yes,yes,yes,yes,4,1,5,1,2,2,0,11.516975501415896,14.750174592947513,15.03807564258156
GP,F,20,R,LE3,A,3,1,at_home,at_home,reputation,mother,1,2,3,no,no,yes,yes,no,no,no,no,1,5,4,1,1,4,27,17.290456822253233,10.044528964006268,14.595800068751085
GP,F,21,R,GT3,T,2,2,teacher,services,reputation,mother,3,1,2,no,yes,yes,no,no,yes,no,yes,4,5,3,3,4,1,17,9.320908494274443,13.856318218754419,13.339249594769885
GP,F,22,R,LE3,A,2,2,other,services,reputation,father,2,4,0,yes,no,no,no,no,yes,yes,yes,1,4,3,1,4,2,5,7.830458801828242,14.011216467178354,13.224108187740104
GP,M,17,R,LE3,T,1,0,teacher,health,course,father,2,3,3,yes,no,no,no,yes,no,no,yes,2,4,5,2,4,4,29,11.69571332045953,6.552204011940532,9.682952002405779
MS,F,18,R,LE3,A,1,4,health,services,reputation,mother,3,1,3,yes,yes,yes,no,yes,yes,yes,no,2,5,4,5,2,3,13,15.418160791548488,12.627980554475611,15.55901744025598
MS,F,18,U,LE3,T,0,1,at_home,services,home,other,1,4,2,yes,no,yes,no,yes,yes,no,no,1,5,5,3,2,3,10,10.569061832031787,10.482934820674648,13.990561054018311
GP,F,19,U,LE3,T,2,3,teacher,services,other,other,1,3,0,no,yes,yes,no,yes,no,yes,no,2,1,1,1,3,5,16,10.150389218615233,13.495532412603545,15.811283931215751
MS,F,16,R,GT3,T,1,2,other,at_home,course,other,2,2,0,yes,no,no,yes,no,yes,no,yes,3,1,1,5,1,4,8,15.075044088344866,9.377818552800854,14.567069221268214
MS,F,17,R,GT3,A,3,1,health,health,reputation,mother,1,1,1,no,yes,yes,no,yes,yes,yes,yes,3,5,3,3,3,3,27,14.11529921071421,10.25570488884857,11.848414849842703
MS,F,19,U,LE3,T,1,4,health,at_home,home,other,3,3,1,yes,yes,yes,no,yes,no,no,yes,4,3,5,2,2,5,21,9.622754544900356,15.595395520155662,15.187145630336019
MS,M,17,R,LE3,T,1,0,other,other,other,mother,4,3,2,no,yes,no,yes,no,no,yes,yes,3,3,1,5,5,2,6,9.44734109991663,15.363229105347035,13.86518748072353
GP,M,22,U,LE3,T,2,2,other,at_home,home,father,3,3,0,yes,no,yes,no,yes,no,yes,yes,3,1,2,1,3,2,13,14.487876334025646,9.017682797307533,12.008784303025287
MS,F,16,U,LE3,T,2,1,teacher,other,reputation,other,2,3,0,no,yes,no,yes,no,yes,yes,yes,5,2,1,1,2,4,27,7.104388250601055,17.38911232427603,16.437124762633978
GP,F,21,U,GT3,T,4,1,services,teacher,home,father,2,1,1,no,yes,yes,yes,no,no,no,no,5,5,5,2,2,4,16,15.23857054815051,4.253822487709595,10.138318351315053
MS,F,21,R,LE3,T,3,1,health,teacher,other,other,2,3,1,no,yes,no,yes,no,yes,no,no,5,4,5,3,5,4,7,14.075486373935206,12.643736778726446,16.0458862537412
MS,M,18,R,GT3,A,2,4,teacher,other,reputation,mother,1,4,2,yes,no,yes,no,no,no,yes,no,5,3,1,5,5,4,27,5.1572636753764804,8.146647413152138,9.295771391816034
MS,F,21,U,LE3,A,0,4,other,other,other,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,2,2,5,2,5,3,15,12.04670482443781,13.114137292852169,14.4274153177706
GP,M,21,U,GT3,T,3,4,teacher,at_home,home,mother,4,3,3,yes,no,no,yes,yes,yes,yes,no,4,3,5,3,1,3,11,6.063395519579712,11.215069341297902,12.424470736178996
MS,F,22,U,LE3,A,3,3,other,other,course,mother,3,1,1,no,no,yes,no,yes,no,yes,yes,4,2,2,4,2,5,11,8.384732500908736,8.947082244498663,12.10353711988418
GP,F,15,U,LE3,A,2,1,at_home,health,course,other,4,4,2,no,no,no,yes,no,yes,no,yes,3,5,3,4,5,3,27,10.491086967280117,9.787783963259475,9.996981007375801
MS,F,18,U,GT3,T,3,2,other,teacher,course,father,3,4,0,yes,yes,yes,no,yes,yes,no,no,4,5,5,3,1,2,27,8.196634307215039,9.64011008533725,11.187652874141271
GP,F,19,R,LE3,T,2,4,other,teacher,course,mother,2,1,0,no,yes,no,no,no,no,no,yes,3,5,4,1,4,5,4,18.654482716332677,12.22915322276684,18.65252784050873
MS,M,20,U,LE3,T,1,4,other,other,other,other,4,3,1,no,no,no,yes,yes,yes,yes,yes,4,1,3,1,4,3,4,14.592174160842536,14.924176802717184,18.73619112954008
GP,M,15,R,LE3,A,4,1,services,services,course,father,3,3,2,yes,yes,no,no,yes,yes,yes,yes,1,2,3,4,4,4,13,16.10231712948918,17.87643020442676,20.0
GP,F,19,U,GT3,T,1,4,other,services,other,mother,1,4,3,no,yes,no,no,yes,yes,no,yes,1,4,4,1,2,3,5,11.57914047495545,11.487317405499407,12.80093958414891
MS,F,16,R,LE3,A,2,3,health,other,reputation,father,1,3,1,no,no,no,yes,yes,no,no,yes,4,4,1,1,1,1,6,12.091402220412013,12.89644267472444,14.583999457839788
GP,M,15,R,LE3,T,2,3,health,health,course,mother,3,4,2,no,no,no,yes,yes,no,no,no,2,5,2,3,1,5,22,16.74218112719555,15.5586472032073,17.583838768086665
MS,M,22,R,GT3,A,1,4,teacher,services,other,father,2,3,0,no,yes,no,yes,yes,no,no,no,3,4,5,3,4,3,20,13.301197182084056,10.653190649912755,12.366580389333064
MS,M,19,R,GT3,T,0,1,services,other,course,father,4,4,3,yes,no,yes,yes,yes,no,yes,yes,4,3,1,1,3,3,16,13.836725404343328,9.650745825495196,14.155858014236886
MS,M,16,R,GT3,T,0,1,teacher,health,course,mother,3,2,2,no,yes,yes,no,no,no,yes,yes,3,2,4,3,4,2,26,9.266461244569204,17.84527600239724,14.981320774264383
MS,F,18,R,LE3,A,0,1,health,health,course,other,1,3,3,no,no,no,yes,no,no,yes,no,5,2,2,5,2,4,8,9.252564587473426,11.460697097015261,14.143824120117136
MS,M,20,U,LE3,A,2,0,health,at_home,other,father,4,3,2,no,yes,no,yes,no,no,no,no,4,2,2,4,4,4,21,12.78311994776072,12.65201054304764,14.855039909825795
MS,F,16,R,LE3,A,3,4,at_home,health,home,mother,1,3,2,no,yes,no,yes,yes,no,yes,no,2,3,2,5,4,2,12,13.118908011628722,7.188399135607802,12.207320776466164
MS,M,21,U,GT3,A,2,1,other,services,course,father,1,1,2,no,no,yes,no,yes,yes,no,yes,5,1,4,5,1,2,8,9.008726627203963,10.428562186472938,11.494942186029514
MS,M,17,R,LE3,A,3,3,health,services,course,father,3,3,2,no,yes,no,no,no,yes,no,no,4,3,1,1,4,1,26,13.075370898683563,17.661416879976823,15.469344273989424
MS,M,16,R,LE3,A,1,2,teacher,other,reputation,other,1,1,3,no,yes,yes,no,no,yes,no,no,1,2,5,1,5,5,15,8.334991193270357,13.388419377545564,13.410828874454147
MS,M,16,U,GT3,T,4,2,teacher,other,home,father,4,1,1,no,no,no,no,yes,yes,no,yes,4,2,2,5,5,4,3,12.041490599171091,11.913955024088061,15.173382355928686
MS,M,20,R,GT3,A,3,1,other,health,other,father,2,4,3,yes,yes,no,no,no,no,no,yes,1,2,2,5,3,2,1,7.687538113478487,16.181146693254377,15.694160026093583
GP,F,17,U,GT3,T,0,2,other,teacher,reputation,mother,3,1,2,yes,yes,no,yes,no,yes,yes,no,1,4,1,2,2,2,12,15.983971764551855,7.064708237580659,12.223046750432633
GP,F,21,U,GT3,T,2,2,at_home,at_home,course,mother,4,1,3,yes,yes,no,no,no,yes,yes,yes,4,1,2,2,2,5,12,11.066333644095664,10.755752049873456,13.58403275147501
MS,M,19,U,GT3,A,1,0,services,teacher,reputation,other,3,2,3,yes,no,no,no,no,yes,yes,no,4,3,2,4,1,2,18,9.919294471445914,18.824965240609394,16.014582559419022
MS,M,19,U,LE3,T,0,3,teacher,health,reputation,father,1,3,3,no,no,yes,no,yes,yes,no,no,1,2,4,5,2,1,11,8.562785150843846,11.850093627568402,12.125773376278238
MS,F,16,R,GT3,A,1,3,other,health,course,father,1,1,2,no,no,no,yes,no,yes,yes,yes,3,5,3,3,3,5,3,8.27404392015552,11.829341551372316,12.875829672627466
MS,M,22,R,LE3,A,4,0,teacher,teacher,home,father,4,3,3,yes,no,yes,yes,no,no,no,yes,5,1,1,2,5,1,9,13.309230716062125,15.537437148707024,15.76879195130649
MS,M,22,U,LE3,T,2,0,other,at_home,home,other,4,1,0,yes,no,yes,no,no,no,yes,no,2,5,1,1,1,3,15,15.0114056689066,15.745967261668914,17.201056865015342
MS,F,17,R,GT3,T,2,2,health,teacher,reputation,father,2,4,2,yes,yes,no,yes,no,yes,no,yes,4,1,1,5,5,4,27,14.71119835289523,8.095360850443964,12.145584933737018
MS,M,17,R,GT3,A,4,4,teacher,other,course,mother,4,2,3,no,yes,no,no,yes,yes,no,yes,5,2,4,3,3,2,23,16.189774687566743,13.283900020069419,14.885067078553202
MS,M,21,U,GT3,A,2,2,health,services,other,other,4,1,0,no,yes,no,yes,no,yes,yes,yes,5,1,4,3,1,5,18,17.244541374207778,17.26737163059895,19.6428244382617
GP,F,20,R,LE3,T,3,0,teacher,other,reputation,mother,3,3,3,yes,no,yes,yes,no,yes,no,yes,3,1,5,3,4,1,7,14.873780596008714,10.07074760263693,15.113752138583175
MS,F,18,U,GT3,T,1,3,services,services,other,mother,1,4,1,yes,yes,yes,no,no,no,yes,yes,5,2,4,1,2,4,5,10.491321423710003,10.882707440887806,13.82974712192465
GP,F,19,U,GT3,T,0,2,at_home,health,reputation,other,4,3,3,yes,no,yes,yes,no,yes,yes,yes,4,5,1,2,3,4,3,12.50844314226184,12.086456140585078,16.595974346767033
MS,M,20,R,GT3,T,4,4,health,at_home,reputation,mother,2,4,3,yes,yes,no,no,no,no,yes,yes,5,5,5,3,1,2,29,5.229103846569911,14.083034683221396,12.98795066692582
MS,F,15,R,GT3,A,3,2,other,teacher,course,father,4,2,1,yes,no,yes,no,yes,yes,no,no,4,4,3,2,5,4,6,13.912740413345436,7.717004968597208,14.190468207035643
GP,F,19,R,GT3,A,0,1,services,at_home,course,other,1,4,2,no,yes,yes,no,no,no,no,yes,4,5,2,4,1,2,13,12.447796531179893,2.6624176797227435,9.680518859900276
MS,F,20,U,LE3,A,0,2,teacher,teacher,other,mother,4,3,1,yes,yes,yes,yes,no,no,no,no,1,5,2,1,4,3,26,16.78568413771034,12.646480403958547,16.923576912066185
GP,F,19,U,LE3,A,4,0,health,other,other,father,3,3,2,no,no,no,yes,yes,no,no,yes,3,1,5,2,3,2,12,9.769922215123156,15.497633434371837,16.832965862636584
MS,F,18,R,LE3,T,3,3,teacher,other,home,father,1,1,1,yes,yes,yes,no,no,yes,yes,no,2,4,3,2,1,1,20,13.546546902045279,11.064122060651442,13.56869099595307
MS,F,15,R,GT3,T,0,3,teacher,teacher,course,mother,4,4,3,yes,yes,yes,no,yes,yes,no,yes,1,2,2,3,3,4,4,8.98996780876174,10.16880049937793,11.747827164102777
GP,M,22,R,GT3,A,0,0,teacher,at_home,reputation,father,3,3,3,no,no,no,yes,no,no,yes,no,2,2,5,3,3,4,8,11.66989972722087,11.499100732953858,15.70131330882596
MS,M,22,R,GT3,A,3,1,at_home,teacher,reputation,other,1,1,2,yes,yes,no,no,yes,yes,yes,yes,4,3,4,1,5,4,28,7.0942023420303935,16.792638509810857,13.79220804876079
GP,F,18,U,LE3,A,2,0,at_home,health,home,mother,4,2,2,no,yes,no,yes,yes,yes,no,no,1,4,1,2,2,2,2,16.068139039894326,10.006315777605607,13.473288979146854
MS,F,21,R,GT3,A,0,2,other,other,course,father,3,3,0,no,no,yes,yes,no,no,no,yes,5,1,3,5,4,5,9,15.157948165943282,13.710846913261006,18.571513047586407
GP,F,15,U,GT3,A,1,0,health,health,reputation,father,2,1,0,yes,no,yes,yes,yes,yes,yes,yes,5,3,2,3,1,2,14,10.581946834689024,8.539287008694572,10.657495185419295
GP,M,16,U,GT3,A,3,0,services,other,home,mother,3,3,3,yes,no,yes,no,no,no,no,no,2,3,1,3,2,1,19,12.78550596171461,8.6828835737412,13.049633229585087
MS,M,20,R,LE3,A,0,1,services,other,home,mother,2,4,3,no,no,no,no,yes,yes,yes,no,4,2,5,4,5,2,20,12.11545658502278,14.535129201931477,15.4541368616814
MS,M,15,R,GT3,A,4,2,services,services,reputation,mother,4,1,0,no,no,yes,yes,yes,yes,no,yes,2,5,2,1,2,4,16,10.162818645836056,16.903107883595816,15.076188983432939
GP,M,21,R,LE3,A,1,4,teacher,health,reputation,mother,3,4,0,yes,yes,no,no,no,no,no,no,3,1,1,2,3,3,22,12.369580984094393,14.667006346869268,15.678286304902507
MS,M,21,U,GT3,T,0,4,at_home,health,other,other,2,2,2,no,no,no,no,yes,no,yes,no,5,4,4,2,3,1,23,10.671685329941411,5.838511679509269,9.569209192731261
MS,M,18,R,LE3,A,1,3,health,services,course,mother,1,4,1,yes,no,yes,yes,no,no,yes,yes,1,3,3,2,4,3,5,14.94101601065329,10.740167281293902,17.287695691697934
MS,M,19,R,LE3,T,1,0,teacher,at_home,other,other,3,1,2,no,yes,yes,yes,yes,no,yes,no,1,1,5,3,1,1,24,11.367575026481367,12.716750601298882,11.143065681278927
GP,M,15,U,LE3,T,2,3,at_home,health,home,other,4,3,0,yes,yes,yes,no,yes,yes,no,yes,1,2,2,1,1,1,2,19.171606431437574,12.178722332941549,18.112039855229124
GP,M,20,R,GT3,A,1,1,at_home,teacher,reputation,mother,1,1,3,no,yes,no,yes,no,yes,no,no,5,3,4,2,5,4,17,11.76645665536703,6.240973498985126,10.097134623863063
GP,F,15,U,GT3,A,2,4,health,services,other,other,2,4,0,no,yes,no,no,no,yes,no,yes,4,3,3,5,4,2,4,12.338312235255204,8.108413273700155,14.753720477106182
GP,F,17,R,LE3,T,3,0,health,health,home,mother,3,4,3,yes,yes,yes,yes,yes,no,yes,no,5,2,3,4,1,4,12,13.58447556513505,9.594718646943306,15.673922543741885
GP,F,19,U,LE3,T,2,1,health,at_home,course,mother,3,3,3,no,no,no,yes,no,yes,yes,yes,5,2,4,4,3,4,24,14.511153012706568,11.797187626947466,14.396580037537213
GP,F,20,R,GT3,A,4,1,teacher,health,reputation,father,4,2,3,no,yes,yes,no,no,yes,no,yes,1,2,2,2,4,4,26,12.233923385456196,6.197868234757142,8.99620049134536
GP,M,22,R,GT3,T,0,0,other,other,other,mother,1,1,3,no,no,yes,no,yes,yes,yes,no,5,1,3,3,2,3,0,13.519138496083986,13.800675125236316,17.314654029821618
GP,M,20,U,LE3,A,3,1,health,teacher,course,father,3,3,1,no,yes,yes,no,yes,no,no,no,1,1,5,4,4,1,16,12.54841189251038,11.721052777962148,12.959908551025793
GP,F,16,U,GT3,A,3,0,other,services,other,other,3,3,0,no,no,no,no,no,no,yes,yes,4,1,1,4,4,5,25,9.664252062761529,8.870389796432736,12.120515123653906
MS,M,18,R,GT3,A,4,0,teacher,other,home,father,1,3,2,no,yes,no,no,yes,yes,no,yes,3,5,5,4,1,2,2,8.855549100659589,12.580760985197095,13.662368816021319
GP,F,16,U,GT3,T,2,2,other,at_home,course,other,3,1,3,no,no,yes,yes,no,yes,no,no,1,3,3,4,5,4,25,14.097742866456182,7.679932326449459,12.648943502700623
MS,M,20,U,GT3,T,0,3,services,other,other,mother,1,1,3,yes,no,yes,yes,no,no,no,no,2,1,1,2,5,1,18,16.551693075030734,11.843742715061648,13.560702019260928
MS,F,19,U,LE3,A,2,1,other,other,course,other,1,1,2,no,no,no,no,no,no,yes,no,3,5,4,1,1,2,20,7.1071403601230845,6.597847534885454,8.991257059927632
MS,M,15,U,GT3,T,1,1,health,at_home,home,other,1,2,2,no,no,yes,yes,no,no,yes,no,4,3,1,1,1,5,19,7.696312864596308,7.0356451446142945,10.549455445167862
GP,M,22,R,GT3,T,2,2,teacher,other,course,mother,4,3,3,yes,no,no,no,no,no,no,no,3,1,1,3,1,5,21,7.667336039229777,10.637860805520948,10.712201779263363
GP,F,15,R,LE3,T,3,2,health,services,other,other,1,4,2,no,no,yes,yes,no,yes,no,no,1,2,1,5,5,4,11,14.325433651834292,9.851199174332798,14.40998361396981
